,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
1100,United States,USA,USD,4.29,1.0,57006.926,57006.926,2016-01-01
1101,South Korea,KOR,KRW,3700.0,1085.475,25459.168,28687560.101,2013-01-01
1102,Israel,ISR,ILS,17.5,3.77835,38247.598,136847.038,2015-07-01
1103,Hungary,HUN,HUF,900.0,292.67905,12700.301,3547606.838,2016-01-01
1104,Estonia,EST,EUR,3.1,0.908306463,17403.806,15684.4,2016-07-01
1105,Poland,POL,PLN,9.1,3.52045,13776.572,40817.915,2012-01-01
1106,Switzerland,CHE,CHF,6.5,0.9123,86284.413,80907.555,2013-01-01
1107,Venezuela,VEN,VEF,39.0,4.29465,12688.11,,2013-01-01
1108,Euro area,EUZ,EUR,3.7,0.912700224,40504.87002244,30481.3020015521,2015-07-01
1109,Poland,POL,PLN,9.1,3.092,13010.54,42369.365,2013-01-01
1110,Hungary,HUN,HUF,860.0,271.39345,14279.016,3321322.973,2015-01-01
1111,Turkey,TUR,TRY,9.25,2.33345,12079.287,26447.923,2015-01-01
1112,Switzerland,CHE,CHF,6.5,0.9528,89276.302,81790.577,2015-07-01
1113,Colombia,COL,COP,8900.0,2929.0,6337.022,17374719.787,2016-07-01
1114,South Korea,KOR,KRW,4100.0,1083.3,29252.933,30798658.095,2015-01-01
1115,Euro area,EUZ,EUR,3.95,0.816826629,37498.4987117024,33205.5921879761,2018-01-01
1116,Chile,CHL,CLP,2640.0,678.99,15755.003,10102435.897,2019-01-01
1117,Finland,FIN,EUR,4.83,0.899159286,48667.723,43468.924,2020-01-14
1118,Russia,RUS,RUB,130.0,63.40755,9266.725,567513.626,2016-07-01
1119,Saudi Arabia,SAU,SAR,12.0,3.75065,21515.651,80683.693,2017-01-01
1120,Euro area,EUZ,EUR,4.21,0.879623521,39502.5666384101,35282.8099981162,2020-07-01
1121,China,CHN,CNY,20.9,6.8497,9848.949,65160.648,2019-01-01
1122,Hong Kong,HKG,HKD,20.5,7.8105,48310.038,378678.232,2019-07-09
1123,Latvia,LVA,EUR,2.85,0.892339267,17806.56,15071.274,2019-07-09
1124,Jordan,JOR,JOD,2.3,0.709,4165.547,2953.367,2020-01-14
1125,Philippines,PHL,PHP,134.0,50.5765,3107.646,147589.798,2017-07-01
1126,Moldova,MDA,MDL,43.0,16.6526,3422.643,63313.069,2018-07-01
1127,Uruguay,URY,UYU,140.0,32.51,18645.281,572655.634,2019-01-01
1128,Slovakia,SVK,EUR,3.2,0.892339267,19508.287,16511.596,2019-07-09
1129,Colombia,COL,COP,11900.0,3191.5,6923.64,20468748.983,2019-01-01
1130,Sweden,SWE,SEK,51.5,9.4591,51694.498,488944.612,2020-01-14
1131,Hungary,HUN,HUF,900.0,311.37795,16782.01,4878152.768,2020-07-01
1132,Estonia,EST,EUR,3.1,0.955246692,18290.293,16528.404,2017-01-01
1133,Netherlands,NLD,EUR,3.61,0.875695083,46165.177,41718.122,2017-07-01
1134,Malaysia,MYS,MYR,8.45,4.0225,9965.123,42854.422,2018-07-01
1135,Honduras,HND,HNL,85.0,24.3391,2506.539,59915.056,2019-01-01
1136,Latvia,LVA,EUR,2.85,0.899159286,17828.071,15923.635,2020-01-14
1137,Italy,ITA,EUR,4.3,0.879623521,33628.161,30035.923,2020-07-01
1138,Malaysia,MYS,MYR,8.0,4.4715,9523.316,39505.493,2017-01-01
1139,Hong Kong,HKG,HKD,20.0,7.84825,46025.665,358689.513,2018-07-01
1140,South Africa,ZAF,ZAR,31.0,13.8675,6991.709,92566.147,2019-01-01
1141,Euro area,EUZ,EUR,4.12,0.899159286,39502.5666384101,35282.8099981162,2020-01-14
1142,Norway,NOR,NOK,53.0,8.87515,76303.683,671472.406,2020-01-14
1143,Portugal,PRT,EUR,3.25,0.853205921,21482.834,19023.436,2018-07-01
1144,Saudi Arabia,SAU,SAR,12.0,3.75115,28036.044,105135.165,2019-01-01
1145,Lebanon,LBN,LBP,6500.0,1507.0,8003.824,12065764.276,2019-07-09
1146,Poland,POL,PLN,11.0,3.7966,15694.594,60266.588,2020-01-14
1147,Turkey,TUR,TRY,10.75,3.91115,10891.19,32908.096,2017-01-01
1148,Egypt,EGY,EGP,42.0,15.95,3240.513,57043.833,2020-07-01
1149,Croatia,HRV,HRK,21.0,6.31275,13585.885,12030.545,2018-07-01
1150,Austria,AUT,EUR,3.4,0.853205921,47320.537,41903.187,2018-07-01
1151,Euro area,EUZ,EUR,4.05,0.872486149,40451.0707876842,34237.3294059313,2019-01-01
1152,Uruguay,URY,UYU,189.0,43.675,17686.109,623458.938,2020-07-01
1153,New Zealand,NZL,NZD,6.2,1.464343242,42289.966,59492.212,2018-07-01
1154,France,FRA,EUR,4.2,0.872486149,43060.59,36446.004,2019-01-01
1155,Britain,GBR,GBP,3.39,0.76866905,42712.614,33443.433,2020-01-14
1156,UAE,ARE,AED,13.0,3.673,40483.337,148675.054,2017-01-01
1157,Sri Lanka,LKA,LKR,580.0,153.725,4150.367,604300.052,2017-07-01
1158,United States,USA,USD,4.5,1.0,58179.697,58179.697,2017-07-01
1159,Britain,GBR,GBP,3.19,0.753863551,40617.562,31533.646,2018-07-01
1160,Hong Kong,HKG,HKD,20.5,7.77535,48277.982,378302.241,2020-01-14
1161,Greece,GRC,EUR,3.35,0.872486149,19750.71,16716.781,2019-01-01
1162,Oman,OMN,OMR,1.05,0.3849,19885.103,7645.822,2019-01-01
1163,Mexico,MEX,MXN,49.0,21.9505,8999.57,167968.493,2017-01-01
1164,Hong Kong,HKG,HKD,19.2,7.8115,43488.204,337566.311,2017-07-01
1165,Czech Republic,CZE,CZK,75.0,22.8561,18553.304,453441.216,2017-07-01
1166,Sweden,SWE,SEK,48.97,8.41565,51590.473,441717.2,2017-07-01
