name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Austria,AUT,EUR,5.15,0.92413,57081.047,52775.588,2024-07-01
Azerbaijan,AZE,AZN,6.15,1.7,7525.428,12793.228,2024-07-01
Belgium,BEL,EUR,4.9,0.92413,53659.317,49611.949,2024-07-01
Bahrain,BHR,BHD,1.7,0.377,28262.187,10626.582,2024-07-01
Brazil,BRA,BRL,23.9,5.65275,10642.437,53152.232,2024-07-01
Canada,CAN,CAD,7.62,1.38145,53547.719,72284.529,2024-07-01
Switzerland,CHE,CHF,7.1,0.88025,100413.067,90220.136,2024-07-01
Chile,CHL,CLP,4290,944.85,16815.783,14121130.627,2024-07-01
China,CHN,CNY,25.5,7.2276,12513.871,88648.261,2024-07-01
Colombia,COL,COP,19900,4058.99,6971.669,30152817.34,2024-07-01
Costa Rica,CRI,CRC,2950,524.47,16390.222,8915932.446,2024-07-01
Czech Republic,CZE,CZK,109,23.53295,30599.595,679252.355,2024-07-01
Germany,DEU,EUR,6.05,0.92413,52726.965,48749.922,2024-07-01
Denmark,DNK,DKK,39,6.8959,68299.821,470565.45,2024-07-01
Egypt,EGY,EGP,120,48.6,3727.657,96123.855,2024-07-01
Spain,ESP,EUR,5.4,0.92413,33071.349,30576.872,2024-07-01
Estonia,EST,EUR,4.5,0.92413,29838.985,27588.316,2024-07-01
Euro area,EUZ,EUR,5.6,0.92413,44812.4646937434,41432.3935624445,2024-07-01
Finland,FIN,EUR,5.95,0.92413,54007.975,49934.309,2024-07-01
France,FRA,EUR,5.5,0.92413,46000.803,42531.095,2024-07-01
Britain,GBR,GBP,4.59,0.77854,49098.977,39487.32,2024-07-01
Greece,GRC,EUR,4.7,0.92413,22805.197,21085.067,2024-07-01
Guatemala,GTM,GTQ,31,7.7458,5368.885,42054.883,2024-07-01
Hong Kong,HKG,HKD,23,7.812,50029.777,391712.309,2024-07-01
Honduras,HND,HNL,102,24.79555,3330.339,81931.88,2024-07-01
Croatia,HRV,EUR,4.32,0.92413,21347.327,19737.159,2024-07-01
Hungary,HUN,HUF,1420,364.17615,22146.885,7817056.563,2024-07-01
Indonesia,IDN,IDR,40000,16260,4942.361,75306188.823,2024-07-01
India,IND,INR,230,83.72875,2500.356,207029.491,2024-07-01
Ireland,IRL,EUR,5.65,0.92413,104272.075,96407.133,2024-07-01
Israel,ISR,ILS,17,3.76125,52219.276,191507.652,2024-07-01
Italy,ITA,EUR,5.8,0.92413,38325.839,35435.031,2024-07-01
Jordan,JOR,JOD,2.5,0.709,4497.524,3188.738,2024-07-01
Japan,JPN,JPY,480,150.46,33805.939,4749433.499,2024-07-01
South Korea,KOR,KRW,5500,1376.75,33192.046,43337609.824,2024-07-01
Kuwait,KWT,KWD,1.4,0.30555,32638.041,10025.209,2024-07-01
Lebanon,LBN,LBP,460000,89550,,,2024-07-01
Lithuania,LTU,EUR,4.1,0.92413,27026.117,24987.615,2024-07-01
Latvia,LVA,EUR,3.7,0.92413,23153.479,21407.079,2024-07-01
Moldova,MDA,MDL,63,17.63,6832.465,123812.299,2024-07-01
Mexico,MEX,MXN,95,18.6305,13641.613,242257.537,2024-07-01
Malaysia,MYS,MYR,13.15,4.5945,12570.46,57329.141,2024-07-01
Nicaragua,NIC,NIO,159,36.6243,2608.085,94967.033,2024-07-01
Netherlands,NLD,EUR,5.69,0.92413,62718.681,57987.992,2024-07-01
Norway,NOR,NOK,74,10.9345,87739.41,926820.638,2024-07-01
New Zealand,NZL,NZD,8.4,1.68364340432696,47536.739,77364.689,2024-07-01
Oman,OMN,OMR,1.53,0.385,21623.401,8314.198,2024-07-01
Pakistan,PAK,PKR,1065,278.75,1460.74,363066.663,2024-07-01
Peru,PER,PEN,16.9,3.7181,7932.905,29697.16,2024-07-01
Philippines,PHL,PHP,167,58.3755,3867.672,215160.12,2024-07-01
Poland,POL,PLN,20.9,3.96845,21995.995,92406.092,2024-07-01
Portugal,PRT,EUR,4.95,0.92413,27880.066,25777.153,2024-07-01
Qatar,QAT,QAR,14,3.641,78696.207,286454.195,2024-07-01
Romania,ROU,RON,16.25,4.60025,18175.989,83162.188,2024-07-01
Saudi Arabia,SAU,SAR,19,3.7519,32529.702,121986.384,2024-07-01
Singapore,SGP,SGD,6.65,1.3376,84734.277,113778.363,2024-07-01
Slovakia,SVK,EUR,4.5,0.92413,24337.251,22501.562,2024-07-01
Slovenia,SVN,EUR,3.9,0.92413,32233.058,29801.811,2024-07-01
Sweden,SWE,SEK,60,10.7176,56224.808,596554.283,2024-07-01
Thailand,THA,THB,135,35.645,7337.194,255350.393,2024-07-01
Turkey,TUR,TRY,155,33.1104,12849,304590.401,2024-07-01
Taiwan,TWN,TWD,75,32.87,32443.705,1010853.599,2024-07-01
Ukraine,UKR,UAH,118,41.05,5337.491,195637.25,2024-07-01
Uruguay,URY,UYU,285,40.3,21656.979,840754.624,2024-07-01
United States,USA,USD,5.69,1,81632.253,81632.253,2024-07-01
Venezuela,VEN,VES,181.6,36.56705,3659.195,107201.671,2024-07-01
Vietnam,VNM,VND,76000,25247.5,4324.049,101912409.712,2024-07-01
South Africa,ZAF,ZAR,51.9,18.19125,6138.248,113283.932,2024-07-01
